mechanism,process_id,obuiapp_process_id,name,classname,column_name
classic_process,B54318B49E984B9CB855AEFB1F474CD6,,APRM Process Invoice,,EM_APRM_Processinvoice
classic_process,9EB2228A60684C0DBEC12D5CD8D85218,,Calculate Promotions,,Calculate_Promotions
classic_process,800024,,Change Debt Payment,,Changesettlementcancel
classic_process,210,,Copy Lines,ad_actionButton/CopyFromInvoice.html,CopyFrom
classic_process,6E1ADD5C8B6B4ACB82237DAA8114451E,,Explode,,Explode
classic_process,142,,Generate Receipt from Invoice,,GenerateTo
classic_process,111,,Process Invoice,,Processing
classic_process,111,,Process Invoice,,DocAction
classic_process,FB740AB61B0E42B198D2C88D3A0D0CE6,,Update Payment Plan,,Update_Payment_Plan
classic_process,FB740AB61B0E42B198D2C88D3A0D0CE6,,Update Payment Plan,,Update_Payment_Plan
obuiapp_process,,9BED7889E1034FE68BD85D5D16857320,Add Payment,org.openbravo.advpaymentmngt.actionHandler.AddPaymentActionHandler,EM_APRM_Addpayment
obuiapp_process,,535A8BAE44A34759A7C8FF40D62A5070,Creación de anulación XML desde Factura,com.smf.ticketbai.process.XMLVoidConversionFromInvoice,EM_Tbai_Voidxmlgenerator
obuiapp_process,,BE2486102F2C41779B760609FD69A225,Creación de fichero XML desde Factura,com.smf.ticketbai.process.XMLConvertionFromInvoice,EM_Tbai_Xmlgenerator
obuiapp_process,,12FECC9DF1F4418AB7DAA46D6A05FEC6,Creación de URL para QR,com.smf.ticketbai.process.QRCodeURLCreationProcess,em_tbai_qrcode
obuiapp_process,,AB2EFCAABB7B4EC0A9B30CFB82963FB6,Create Lines From Order,org.openbravo.common.actionhandler.createlinesfromprocess.CreateInvoiceLinesFromOrderLines,Createfromorders
obuiapp_process,,7737CA7330FD49FBA7EBC225E85F2BC9,Create Lines From Shipment/Receipt,org.openbravo.common.actionhandler.createlinesfromprocess.CreateInvoiceLinesFromInOutLines,Createfrominouts
obuiapp_process,,E36A8BA259164E78AFDDC760172C18F5,Create Rectification,com.etendoerp.verifactu.process.CreateRectification,EM_Etvfac_Rect_Create
obuiapp_process,,281FFDFAB31C4394A2EAA73A6F9F3A3F,LC Cost Match from Invoice,org.openbravo.costing.LCCostMatchFromInvoiceHandler,Match_Lccosts
obuiapp_process,,4EEB3497082C4F2182E16A4371CD5D96,Modify Payment In Plan,org.openbravo.advpaymentmngt.actionHandler.ModifyPaymentPlanActionHandler,EM_Aprm_Modif_Paym_Sched
obuiapp_process,,4EEB3497082C4F2182E16A4371CD5D96,Modify Payment In Plan,org.openbravo.advpaymentmngt.actionHandler.ModifyPaymentPlanActionHandler,EM_Aprm_Modif_Paym_Sched
obuiapp_process,,6F87442DF7BC43AB8A666BDED2F7D64E,Modify Payment Out Plan,org.openbravo.advpaymentmngt.actionHandler.ModifyPaymentPlanActionHandler,EM_Aprm_Modif_Paym_Out_Sched
obuiapp_process,,6F87442DF7BC43AB8A666BDED2F7D64E,Modify Payment Out Plan,org.openbravo.advpaymentmngt.actionHandler.ModifyPaymentPlanActionHandler,EM_Aprm_Modif_Paym_Out_Sched
obuiapp_process,,92C02F9A367140C085D1EE3BD27C4E96,SII duplicated invoice correction,OB.AEATSII.correction,EM_Aeatsii_Dup
obuiapp_process,,BAAECFDF9FF144E8A610E9F1EF3E5FBE,SII Invoice Modification,OB.AEATSII.modify,EM_Aeatsii_Modif
obuiapp_process,,2ECF46DAAEEB486EAF79D3594D50DE5F,SII Invoice Sender,OB.AEATSII.send,EM_Aeatsii_Send
obuiapp_process,,BE564945CB2D4892AC0EE51204C5DB7D,SII Unsubscribe Invoice,OB.AEATSII.unsubscribe,EM_Aeatsii_Unsubscribe
tab_process,1000500003,,Print invoices process,,
